,Company Name,Formerly,Company type,Traded as,ISIN,Industry,Founded,Founder,Headquarters,Key people,Services,Operating income,Net income,AUM,Number of employees,Website,Revenue,Trade name,Predecessor,Area served,Products,Total assets,Total equity,Owner,Subsidiaries,Divisions,Predecessors,Founders,Number of locations,Production output,Brands,Parent
10,B&M,,Public,LSE: BMEFTSE 100 component,,Retail,14 March 1978; 45 years ago (1978-03-14),Malcolm Billington,"Liverpool, England, UK (operational)[1]Luxembourg (registered)",Peter Bamford (chairman) Alex Russo (Chief executive officer),,£536 million (2023)[2],£348 million (2023)[2],,"35,000 (2023)[3]",Retail website Corporate website,£4.983 billion (2023)[2],,,United KingdomFrance,"Grocery, variety",,,,Heron Foods,BMStores.co.uk,,,703 (19 February 2022),,,
11,BAE Systems,,Public,LSE: BA. FTSE 100 Component,,"Aerospace, arms industry, information security",30 November 1999; 24 years ago (1999-11-30),,"London, England, UK",Cressida Hogg (chair)Charles Woodburn (CEO),"Maintenance, consultancy, training etc.",£2.384 billion (2022),£1.674 billion (2022),,"93,100 (2022)",www.baesystems.com,£21.258 billion (2022),,,Worldwide,Civil and military aerospaceDefence electronicsNaval vesselsMunitionsLand warfare systems,£31.462 billion (2022),£11.400 billion (2022),,BAE Systems Inc.BAE Systems AustraliaBAE Systems Digital Intelligence,See below,British AerospaceMarconi Electronic Systems,,,,,
12,Barclays,Barclays Bank plc (1896–1985)[1],Public limited company,LSE: BARCNYSE: BCSFTSE 100 Component,GB0031348658,BankingFinancial services,"17 November 1690; 333 years ago (1690-11-17) in the City of London, Kingdom of England",,"One Churchill Place, Canary Wharf, London, England, United Kingdom",Nigel Higgins(Group chairman)C. S. Venkatakrishnan(Group Chief Executive),,£7.012 billion (2022)[2],£5.973 billion (2022)[2],,"81,000 (2023)[3]",barclays.co.uk,£24.956 billion (2022)[2],,,,Retail BankingCommercial BankingInvestment BankingWholesale BankingPrivate BankingWealth Management,£1.514 trillion (2022)[2],£69.260 billion (2022)[2],,,Barclays UKBarclays International,,,,,,
13,Barratt Developments,,Public limited company,LSE: BDEVFTSE 100 Component,,Housebuilding,1958; 66 years ago (1958),,"Coalville, England, UK","Caroline Silver (Chairwoman)
David Thomas (CEO)[1]",,£646.6 million (2022)[2],£515.2 million (2022)[2],,"6,564 (2022)[2]",www.barrattdevelopments.co.uk,"£5,267.9 million (2022)[2]",,,,,,,,,,,,,,,
14,Beazley Group,,Public limited company,LSE: BEZFTSE 100 component,,Insurance,1986,,"London, United Kingdom",Adrian Cox (CEO),,$230.4 million (2022)[1],$160.8 million (2022)[1],,,www.beazley.com,"$3,466.6 million (2022)[1]",,,,"Life, accident & health, marine, political risks & contingency, property, reinsurance, professional liability, management liability, environmental liability",,,,,,,,,,,
15,Berkeley Group Holdings,,Public limited company,LSE: BKGFTSE 100 Component,,Housebuilding,1976; 48 years ago (1976),,"Cobham, England, UK",Glyn Barker (Chairman)[1]Rob Perrins (CEO)[2],,£507.9 million (2022)[3],£482.4 million (2022)[3],,"2,911 (2022)[3]",www.berkeleygroup.co.uk,"£2,348.0 million (2022)[3]",,,,,,,,,,,,,,,
16,BP,"The British Petroleum Company p.l.c (1909–1998)
BP Amoco p.l.c (1998–2001)",Public,LSE: BP.FTSE 100 component (BP.),GB0007980591,Oil and gas,14 April 1909; 114 years ago (1909-04-14),,"London, England, UK",Helge Lund (Chairman)Murray Auchincloss (CEO),Service stations,US$18.04 billion (2022)[2],US$(1.36) billion (2022)[2],,"70,000 (2023)[3]",www.bp.com,US$241.39 billion (2022)[2],,,Worldwide,PetroleumNatural gasMotor fuelsAviation fuels,US$288.12 billion (2022)[2],US$82.99 billion (2022)[2],,,,Anglo-Persian Oil CompanyCastrolStandard OilStandard Oil of OhioStandard Oil of IndianaARCOAmoco,William Knox D'ArcyCharles Greenway(for the Anglo-Persian Oil Company branch),,3.7 Mbbl/d (590×10^3 m3/d) of BOE (2018)[1],AmocoAralARCOBPBP ConnectCastrolJio-bp,
17,British American Tobacco,,Public,"LSE: BATS
NYSE: BTI
JSE: BTI
KN: BAT
FTSE 100 component (BATS)",,Tobacco,September 1902; 121 years ago (1902-09),,"London, England, UK",Luc Jobin (Chairman)Tadeu Marroco (CEO),,£10.523 billion (2022)[1],£6.846 billion (2022)[1],,"52,000 (2023)[2]",www.bat.com,£27.655 billion (2022)[1],,,Worldwide,CigarettesNicotine pouchesElectronic cigarettes,,,,"Reynolds American
Imperial Tobacco Canada
Bentoel Group
Souza Cruz
Niemeyer
Tekel
Pakistan Tobacco Company
Kohl's
Ceylon Tobacco Company (84%)",,Imperial TobaccoAmerican Tobacco Company,"Imperial Tobacco
American Tobacco Company",,,,
18,BT Group,British Telecom,Public,LSE: BT.AFTSE 100 Component,,Telecommunications,18 June 1846; 177 years ago (1846-06-18)(foundation of the Electric Telegraph Company)1 January 1912; 112 years ago (1912-01-01)(National Telephone Company system take-over under the General Post Office)1 October 1969; 54 years ago (1969-10-01)(as a public corporation under the Post Office)1 October 1981; 42 years ago (1981-10-01)(as a public corporation under the British Telecom brand)1 April 1984; 39 years ago (1984-04-01)(as a private company),,"London, England, UK",Adam Crozier(Chairman)Allison Kirkby(CEO)Simon Lowth(Group Finance Director),,£3.172 billion (2022)[1],£1.274 billion (2022)[1],,"98,400 (2022)[1]",bt.com,£20.845 billion (2022)[1],BT,"Electric Telegraph Company
General Post Office
Post Office Telecommunications",Worldwide,"Fixed-line telephony
Mobile telephony
Broadband internet
Fibre-optic communication
Digital television
IT and network services
Home security
Telecommunications equipment",,,,BT IrelandBT ItaliaEEOpenreachPlusnet,BT ConsumerBT BusinessBT DigitalBT Networks,,,,,,
19,Bunzl,Bunzl Pulp & Paper Limited (1940–1982),Public limited company,LSE: BNZLFTSE 100 Component,,Distribution and outsourcing,"1854; 170 years ago (1854)(Pozsony, Hungary)",,"London, England, UK",Peter Ventress (Chairman)[1]Frank van Zanten (CEO)[2],,£701.6 million (2022)[3],£474.4 million (2022)[3],,"21,000 (2023)[4]",www.bunzl.com,"£12,039.5 million (2022)[3]",,,,"Distribution of catering equipment, cleaning products, paper and plastic packaging, food processing equipment, medical gloves and disposable hygiene products, personal protective equipment, vending machine supplies",,,,,,,,,,,
20,Burberry,,Public limited company,LSE: BRBYFTSE 100 component,GB0031743007,Fashion,"1856; 168 years ago (1856) in  Basingstoke, England",Thomas Burberry,"London, England, UK",Gerry Murphy (chairperson)[1]Jonathan Akeroyd (CEO)[2]Daniel Lee (CCO)[3],,£657 million (2023)[4],£492 million (2023)[4],,"8,868 (2023)[4]",burberry.com,"£3,094 million (2023)[4]",,,Worldwide,"Ready-to-wear
handbags
leather accessories
footwear",,,,,,,,418 (2022),,,
21,Centrica,,Public limited company,LSE: CNAFTSE 100 component,,Utilities,17 February 1997; 26 years ago (1997-02-17),,"Windsor, England, UK",Scott Wheway(Chairman)Chris O'Shea(Group Chief Executive),,£3.308 billion (2022)[1],£(0.636) billion (2022)[1],,"20,000 (2023)[2]",www.centrica.com,£33.637 billion (2022)[1],,British Gas plc,,,£29.038 billion (2022)[1],£1.017 million (2022)[1],,See below,,,,,,,
22,Coca-Cola HBC,,Public (Aktiengesellschaft),LSE: CCHAthex: EEEFTSE 100 Component,,,"1969 (Athens, Greece)  (as Hellenic Bottling Company S.A.)2000 (as Coca-Cola Hellenic Bottling Company S.A.)2013 (as Coca-Cola HBC AG)",,"Steinhausen (ZG), Switzerland[1]",Anastassis G David (chair­person) Zoran Bogdanović (CEO),,€703.8 million (2022)[2],€415.6 million (2022)[2],,,www.coca-colahellenic.com,€9.198 billion (2022)[2],,,,Alcohol-free beverages,,,The Kar-Tess Group (23.3%)The Coca-Cola Company (23.2%)[3],,,,,,,,
23,Compass Group,Compass Demerger Limited (September–November 2000)[1],Public limited company,LSE: CPGFTSE 100 Component,,Foodservice,1941; 83 years ago (1941),,"Chertsey, England, UK",Ian Meakins (Chairman)Dominic Blakemore (CEO)[2],,£1.500 billion (2022)[3],£1.117 billion (2022)[3],,"513,707 (2022)[3]",compass-group.com,£25.512 billion (2022)[3],,,,,,,,,,,,,,,
24,Convatec,Convatec Group Limited (September–October 2016)[1],Public limited company,LSE: CTECFTSE 100 component,,Medical devices,1978,,"Paddington, London, England, UK",Dr John McAdam​ (chairman)Karim Bitar (CEO),,US$207.3 million (2022)[2],US$62.9 million (2022)[2],,"10,000 (2023)[3]",convatecgroup.com,"US$2,072.5 million (2022)[2]",,,,Advanced wound careOstomy careContinence careInfusion care,,,,,,,,,,,
25,Croda International,,Public limited company,LSE: CRDAFTSE 100 Component,,Chemicals,1925,,"Snaith, England, UK",Anita Frew (Chair)[1]Steve Foots (CEO)[1],,£515.5 million (2022)[2],£653.3 million (2022)[2],,"6,100 (2023)[3]",www.croda.com,"£2,089.3 million (2022)[2]",,,,Speciality Chemicals for:Personal Care Health Care Crop Care Lubricant Additives Coatings and Polymers Geo Technologies Polymer Additives Home Care Industrial Chemicals,,,,,,,,,,,
26,DCC plc,,Public limited company,LSE: DCCFTSE 100 Component,,Business services,"9 April 1976; 47 years ago (1976-04-09) in Dublin, Ireland",,"Dublin, Ireland",Mark Breuer (Chairman)Donal Murphy (CEO) Kevin Lucey (CFO),,£589.2 million (2022)[1],£326.0 million (2022)[1],,"16,000 (2022)[2]",www.dcc.ie,£17.732 billion (2022)[1],,,,,,,,,,,,,,,
27,Diageo,,Public limited company,LSE: DGENYSE: DEOFTSE 100 Component,,Drink industry,17 December 1997; 26 years ago (1997-12-17),,"London, England",Javier Ferrán(Chairman)Debra Crew(CEO)Lavanya Chandrashekar(chief financial officer),,£4.409 billion (2022)[1],£3.338 billion (2022)[1],,"27,000 (2023)[2]",www.diageo.com,£22.448 billion (2022)[1],,,,"Alcoholic beverages: spirits, beer and wine",£36.516 billion (2022)[1],£9.514 billion (2022)[1],,United Spirits (54.8%),,Guinness BreweryGrand Metropolitan,,,,,
28,Diploma,,Public,LSE: DPLMFTSE 100 component,,Technical products and services,1931,,"London, United Kingdom","David Lowden, (Chairman)Johnny Thomson (CEO)",,£144.3 million (2022)[1],£95.4 million (2022)[1],,,www.diplomaplc.com,"£1,012.8 million (2022)[1]",,,,,,,,,,,,,,,
29,Endeavour Mining,,Public,TSX: EDVLSE: EDVFTSE 100 component,,Mining,1988,,"London, England, UK",Srinivasan Venkatakrishnan (Chair)Ian Cockerill (CEO)Mark Morcombe (COO)Guy Young (CFO)[1],,US$233.1 million (2022)[2],US$(21.9) million (2022)[2],,,www.endeavourmining.com,"US$2,508.1 million (2022)[2]",,,,Gold,,,,"Semafo, Teranga, Societe des Mines d'Ity S.A. (Côte d'Ivoire), Houndé Gold Operations SA (Burkina Faso)",,,,"Three main locations: Burkina Faso, Côte d'Ivoire and Senegal",,,
30,Entain,,Public,LSE: ENTFTSE 100 component,IM00B5VQMV65,Gambling,2004,,Gibraltar,Barry Gibson (Chairman)Stella David (CEO),,£541.8 million (2022)[1],£19.5 million (2022)[1],,,www.entaingroup.com,"£4,296.9 million (2022)[1]",,,,,,,,,,,,,,,
31,Experian,,Public limited company,LSE: EXPNFTSE 100 Component,,Business services,1996; 28 years ago (1996),,"Dublin, Ireland[1][2]",Mike Rogers (chair­person) Brian Cassin (CEO),,US$1.642 billion (FY2022)[3],US$1.167 billion (FY2022)[3],,"21,700 (2023)[4]",www.experian.com,US$6.288 billion (FY2022)[3],,,,,US$10.894 billion (FY2022)[3],US$4.007 billion (FY2022)[3],,,,GUS plc (1996–2006),,"List
 Costa Mesa, California, United States
  Nottingham, England, United Kingdom
  São Paulo, Brazil
  Hamburg, Germany
  Singapore",,,
32,Foreign & Colonial Investment Trust,,Public,LSE: FCITNZX: FCTFTSE 100 component,,Investment management,1868; 156 years ago (1868),,"London, England",Simon Fraser (Chairman)Paul Niven (Fund manager),,£86.5 million (2022)[1],£72.6 million (2022)[1],,,www.foreignandcolonial.com,£96.2 million (2022)[1],,,,,,,,,,,,,,,
33,Flutter Entertainment,,Public,LSE: FLTRFTSE 100 ComponentNYSE: FLUT,IE00BWT6H894,Gambling,2016,,"Dublin, Ireland",John A. Bryant (Chairman)Peter Jackson (CEO),,£(59.8) million (2022)[1],£(304.9) million (2022)[1],,,flutter.com,"£7,693.2 million (2022)[1]",,,,,,,,,,,,,,,
34,Frasers Group,Sports Direct International(2008–2019)[1],Public,LSE: FRASFTSE 100 component,,"Retail, textile, sports equipment, footwear, cosmetics, electronics",1982; 42 years ago (1982),Mike Ashley,"Shirebrook, England, UK[2]",David Daly (Chairman)  Michael Murray (CEO)  David Al-Mudallal (COO),Frasers Plus,£531.8 million  (2023)[3],£501.3 million (2023)[3],,"30,353 (2022)[3]",frasers.group,"£5,565.2 million (2023)[3]",Frasers Group,,,"List
Sports equipmentClothing, sportswearSneakers, shoes, bootsCosmeticsDecorative objectsElectricalsFurnitureGiftsToys",,,Mike Ashley (61.7%),,,,,,,"List
18montroseAgent ProvocateurAmaraAntiguaCampriCarltonDonnayEvans CyclesEverlastEverlast GymsFiretrapFlannelsFrasersGameGelertGieves & HawkesGet The LabelGulHot TunaHouse of FraserI Saw It FirstJack WillsKarrimorLA GearLovell SportsLillywhitesLonsdaleMatches FashionMuddyfoxNevicaNo FearScottsSlazengerSofa.comSondicoSoulCal & CoSports DirectStudioTessutiUSA ProUSCXile ClothingVan Mildert",
35,Fresnillo plc,,Public limited company,LSE: FRESFTSE 100 Component,,Mining,2008; 16 years ago (2008),,"London, United Kingdom (registered office)Mexico City, Mexico (corporate headquarters)",Alberto Baillères (chair­person) Octavio Alvídrez (CEO),,US$283.6 million (2022)[1],US$308.3 million (2022)[1],,,www.fresnilloplc.com,"US$2,433.0 million (2022)[1]",,,,Precious metals,,,,,,,,,,,Industrias Peñoles
36,Glencore,,Public limited company,LSE: GLENJSE: GLNFTSE 100 Component,,CommoditiesMetals and Mining,1974; 50 years ago (1974)(As Marc Rich + Co AG),Marc Rich,"Baar, Switzerland(Headquarters)London, United Kingdom(Head office – Oil & gas)Rotterdam, Netherlands(Head office – Agricultural products)Saint Helier, Jersey(Registered office)",Gary Nagle (CEO),,US$24.215 billion (2022)[1],US$16.511 billion (2022)[1],,"135,000 (2023)[3]",www.glencore.com,US$255.984 billion (2022)[1],,,Worldwide,"Metals and minerals, energy products, agricultural products",US$132.583 billion (2022)[1],US$45.219 billion (2022)[1],Ivan Glasenberg (9.52%)Qatar Holding LLC (8.22%)Aristotelis Mistakidis (3.10%)[2],,,,,,,,
37,GSK plc,GlaxoSmithKline (2000–2022),Public limited company,"LSE: GSK
FTSE 100 Component",,PharmaceuticalBiotechnology,27 December 2000; 23 years ago (2000-12-27),,"London, England, UK","Jonathan Symonds (Chairperson)
Emma Walmsley (CEO)",,£6.433 billion (2022),£15.621 billion (2022),,"70,000 (2022)",www.gsk.com,£29.324 billion (2022),,,Worldwide,Pharmaceutical drugsvaccines,£60.146 billion (2022),£10.096 billion (2022),,"Haleon (7.4%)
Stiefel Laboratories
Tesaro
ViiV Healthcare (76.5%)",,Glaxo WellcomeSmithKline Beecham,,,,,
38,Haleon,,Public limited company,LSE: HLNNYSE: HLNFTSE 100 component,GB00BMX86B70,HealthcareConsumer goods,18 July 2022; 18 months ago (2022-07-18),,"Weybridge, Surrey, England","Dave Lewis (Chairman)
Brian McNamara (CEO)",,"£1,825 million (2022)[1]","£1,119 million (2022)[1]",,"22,000+ (2022)[2]",www.haleon.com,"£10,858 million (2022)[1]",,GSK Consumer HealthcarePfizer Consumer Healthcare,Worldwide,Oral hygiene and medicinesnutritional productsover-the-counter medicines,"£34,815 million (2022)[1]","£16,457 million (2022)[1]",,,,,,,,"Actifed
Advil
Alinamin
Aquafresh
Beechams
Biotene
Caltrate
Centrum
ChapStick
Contac
Emergen-C
Eno
Excedrin
Fenbid
Fenistil
Flonase
Maclean
Nexium
Nicorette
Nicotinell
Odol
Otrivin
Panadol
Parodontax
Polident
Sensodyne
Theraflu
Tums
Voltaren",
39,Halma plc,,Public limited company,LSE: HLMAFTSE 100 component,,Technology,1894; 130 years ago (1894),,"Amersham, England, UK",Louise Makin (Chair)Andrew Williams (CEO),,£324.7 million (2022)[1],£244.2 million (2022)[1],,"7,000 (2023)[2]",www.halma.com,"£1,525.3 million (2022)[1]",,,,,,,,,,,,,,,
40,Hikma Pharmaceuticals,,Public,LSE: HIKFTSE 100 Component,,Pharmaceutical,1978; 46 years ago (1978)  Jordan,Samih Darwazah,"London, England, UK",Said Darwazah (chair­person) Said Darwazah (CEO),,US$596 million (2022)[1],US$191 million (2022)[1],,"8,700 (2023)[2]",www.hikma.com,"US$2,517 million (2022)[1]",,,,AmoclanPrografSuprax,,,,,,,,,,,
41,Howdens Joinery,Maxirace Limited (May–December 1987)MFI Furniture Group Plc (1987–2006)Galiform Plc (2006–2010)[1],Public,LSE: HWDNFTSE 100 component,,Furniture,1995,Matthew Ingle,"London, England, UK","Peter Ventress, (Chairman)Andrew Livingston, (CEO)",,£415.2 million (2022)[2],£374.2 million (2022)[2],,,howdenjoinerygroupplc.com,"£2,319.0 million (2022)[2]",,,,KitchensJoineryHardwareFlooringAppliancesBathroom furniture,,,,,,,,,,,
42,HSBC,,Public,"LSE: HSBA
SEHK: 5
NYSE: HSBC
BSX: HSBC.BH
FTSE 100 component (HSBA)
Hang Seng component (5)",,Financial services,"First established on 3 March 1865; 158 years ago (1865-03-03) in British Hong Kong[1] (as The Hongkong and Shanghai Bank)First incorporated on 14 August 1866; 157 years ago (1866-08-14)[2] (as The Hongkong and Shanghai Banking Corporation)25 March 1991; 32 years ago (1991-03-25)[1][3] in London (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)",Sir Thomas Sutherland (for The Hongkong and Shanghai Banking Corporation branch),"8 Canada SquareLondon, England, UK",Mark Tucker (Group chairman)Noel Quinn (Group Chief Executive),,US$17.528 billion (2022)[4],US$16.670 billion (2022)[4],US$595 billion (2022)[4],"219,199 (2022)[4]",hsbc.com,US$51.727 billion (2022)[4],,,Worldwide,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment bankingInvestment managementMortgage loansMutual fundsPrivate equitySecurities servicesRisk managementWealth management,US$2.966 trillion (2022)[4],US$196.028 billion (2022)[4],,"Subsidiaries
Hang Seng BankHSBC Bank AustraliaHSBC Bank ArgentinaHSBC Bank CanadaHSBC Bank IndiaHSBC Bank Hong KongHSBC TrinkausHSBC Bank MalaysiaHSBC MéxicoHSBC Bank Middle EastHSBC Sri LankaHSBC Bank USAHSBC FinanceHSBC UK BankM&S Financial Services[5]",,,,,,,
43,IHG Hotels & Resorts,,Public,"LSE: IHG
NYSE: IHG (ADR)
OTC Pink Current: ICHGF
FWB: IC1H
FTSE 100 component (LSE)",GB00BHJYC057,Hospitality,15 April 2003; 20 years ago (15 April 2003),,"Windsor, England, UK",,,US$628 million (2022)[2],US$376 million (2022)[2],,"325,000 (2023)[3]",www.ihgplc.com,US$3.892 billion (2022)[2],IHG Hotels & Resorts,,Global,Hotels and resorts,,,,,,,,"6,028 hotels884,820 rooms[1] (2022)",,see Brands,
44,IMI,,Public company,LSE: IMIFTSE 100 component,GB00BGLP8L22,Engineering,1862,,"Birmingham, England, UK",Lord Smith (Chairman)  Roy Twite (CEO),,£364 million (2022)[1],£226 million (2022)[1],,"10,100 (2023)[2]",www.imiplc.com,"£2,049 million (2022)[1]",,,,,,,,,,,,,,,
45,Imperial Brands,,Public limited company,LSE: IMBFTSE 100 Component,,Tobacco,1901; 123 years ago (1901),,"Bristol, England","List

Thérèse Esperdy (chair­person) 
Stefan Bomhard (CEO) 
Sir William Henry Wills, Bt. (First Chairman)
Sir George Alfred Wills, Bt. (Former President)
The 1st Baron Dulverton (Former President)",,£2.683 billion (2022)[1],£1.665 billion (2022)[1],,"28,600 (2022)[1]",imperialbrandsplc.com,£32.551 billion (2022)[1],,W.D. & H.O. Wills,Worldwide,Cigarettescigarsfine-cut rolling tobaccorolling papers and tubessnusvapesheated tobaccooral nicotine,,,,"Fontem Ventures
Imperial Tobacco
ITG Brands
Altadis
Logista[2]",,,,,,,
46,Informa,,Public limited company,LSE: INFFTSE 100 Component,,"Publishing, business intelligence, global exhibitions, Events",December 1998,,"London, England, UK","Stephen Carter, Baron Carter of Barnes (CEO)","Specialist information, scholarly research, electronic publishing, event management, exhibitions, business intelligence",£496.3 million (2022)[1],"£1,635.3 million (2022)[1]",,"10,000 (2023)[2]",informa.com,"£2,262.4 million (2022)[1]",,,43+ countries worldwide,,,,,,"Informa Connect, Informa Markets, Informa Tech, Taylor & Francis",Penton (1904–2017)UBM plc (1918–2018),,150 offices,,,
47,Intermediate Capital Group,,Public,LSE: ICPFTSE 100 component,,"Financial services, asset management",February 1989; 34 years ago (1989-02),,"London, England, UK",Lord Davies of Abersoch (chair­person) Benoît Durteste (CEO),,£618.5 million (2022)[1],£525.1 million (2022)[1],$68.5 billion (2022)[1],,www.icgam.com,£982.1 million (2022)[1],,,,,,,,,,,,,,,
48,International Airlines Group,,Sociedad Anónima,BMAD: IAGLSE: IAGIBEX 35 componentFTSE 100 component,ES0177542018,Aviation,21 January 2011; 13 years ago (21 January 2011)[1],,"Madrid, SpainRegistered officeLondon, England, UKCorporate headquarters",Javier Ferrán(Chairman)Luis Gallego(CEO),"Airline services
Passenger air transport services
Air freight services",€1.256 billion (2022)[2],€0.431 billion (2022)[2],,"59,505 (2022)[2]",www.iairgroup.com,€23.066 billion (2022)[2],,British Airways and Iberia,Worldwide,,,,"As of May 2021[update]:[3]

Qatar Airways: 25.2%","Aer Lingus
British Airways
IAG Cargo
Iberia
Iberia Express
LEVEL
Vueling
Avios Group",,,,,,,
49,Intertek,,Public limited company,LSE: ITRKFTSE 100 Index Component,,Testing,1888; 136 years ago (1888),,"London, England, UK","David Reid (chair­person) André Lacroix (CEO) Ross McCluskey (CFO)[1]Diane Bitzel, PhD (CIO)[1]",,£520.1 million (2022)[2],£306.8 million (2022)[2],,"44,000 (2023)[3]",www.intertek.com,"£3,192.9 million (2022)[2]",,,,,,,,,,,,,,,
